Lat_dec,Long_dec,Elevation,Name
44.995,100.23083,3957,Tergun Bogd
46.6175,93.59416,4220,Sutay Uul
48.68166,90.725,4208,Tsast Ula
49.57,91.38583,4040,Harhiraa Uul
46.89,91.47333,4231,Munkh Hayrhan
46.78916,95.80083,3578,Hasagt Hayrhan Uul
44.89666,101.57666,3600,Myangan Yamaat
48.75,91.62,3350,Altan Hohiy
47.2875,93.03083,3470,Bumbag Hayrhan Uul
49.79916,89.75416,4029,Turgen Uul
46.96916,92.725,3984,Baatar Hayrhan
51.71916,100.5975,3491,Munku Sardyk
56.05416,160.64083,4750,Klyuchevskaya Sopka
56.65333,161.36166,3307,Shiveluch
55.67833,157.71833,3607,Ichinsky V.
53.32083,158.7125,3456,Koryaksky V.
54.7525,160.5325,3527,Kronotsky
50.86083,155.56416,2339,Alaid V.
53.58833,159.14833,2923,Zhupanovsky V.
55.83083,160.32583,3672,Mt. Ostry Tolbachik
56.86416,117.575,3072,Pik BAM
55.97416,114.43444,3067,Yuzhno Muiskyy Khrebet HP
52.54333,157.33916,2460,Opala V.
48.89666,138.05333,2090,Gora Tardoki-Yani
51.30583,156.87583,2161,Kambalny V.
57.92083,160.67583,2616,Gora Khuvkhoitun
53.60666,134.575,2370,Yam-Alin Range HP
56.6925,159.645,2598,Gora Alney
56.35583,111.6475,2641,Verkhne-Angarskiy Khrebet HP
44.35333,146.2475,1819,Tyatya V.
50.32333,155.46083,1816,Chikurachki V.
50.0625,87.56416,4177,Severo-Chuyskiy Khrebet HP
57.12166,117.98833,2966,North Kodar Group HP
52.0625,157.71,2089,Khodutka V.
54.97416,160.70333,2577,Gora Gamchen
52.44833,158.1975,2322,Mutnovsky V.
51.57666,157.32833,1957,Zheltovsky V.
54.62166,110.45583,2841,Barguzinskiy Khrebet HP
50.27916,90.11916,3970,Gora Mungun-Tayga
55.8975,130.45333,2380,Tokinskiy Stanovik HP
44.8375,147.34333,1634,Gora Stokap
55.75833,160.52666,2920,Gora Bolshaya Udina
50.2675,155.2475,1772,Fussa V.
53.90416,158.07,2276,Gora Bakening
52.705,158.28166,2173,Vilyuchinsky V.
